Unnamed: 0,age,Experience,Gender,10percentage,10board,12graduation,12percentage,12board,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Salary,Designation,JobCity
20,27,2,f,91.2,ssc,2006,84.63,ssc,2,B.Tech/B.E.,computer engineering,78.15,0,Karnataka,2010,455,535,445,0.635978756456794,445,0,0,0,0,0,0,-0.1082,0.9688,0.5269,-0.2902,0.3444,320000,software engineer,Bangalore
21,24,1,f,75.67,ssc,2007,74.4,ssc,2,B.Tech/B.E.,information technology,74.01,0,Uttar Pradesh,2012,385,555,445,0.635978756456794,445,0,0,0,0,0,0,-1.0355,-0.5913,-1.3599,0.0622299999999999,-1.3539,200000,software engineer,unknown
22,23,2,m,92.5,ssc,2009,95.2,ssc,2,B.Tech/B.E.,electronics and communication engineering,76.0,0,Telangana,2013,395,455,485,-1.0,455,0,0,0,0,0,0,-0.4463,-0.6201,-0.6048,0.7798,-2.7769,190000,developer,Hyderabad
23,29,1,m,70.0,ssc,2006,43.42,ssc,2,B.Tech/B.E.,electronics and communication engineering,55.52,1,Karnataka,2014,370,360,270,0.649389714846691,0,356,0,0,0,0,0,-0.7335,-2.1186,-1.9881,-0.4879,-5.0763,180000,electrical project engineer,Bangalore
24,22,1,m,88.0,ssc,2010,90.0,ssc,2,B.Tech/B.E.,computer science & engineering,76.0,1,Telangana,2014,625,555,630,0.356536487724475,475,0,346,0,0,0,0,0.4155,0.8027,0.1357,-0.995,-0.6692,335000,programmer analyst,Hyderabad
25,24,3,f,86.8,cbse,2008,82.8,cbse,2,B.Tech/B.E.,computer science & engineering,78.0,0,Haryana,2012,575,585,575,0.744758354008939,565,0,438,0,0,0,0,0.0464,1.2028,-0.9245,0.5323,-0.2875,435000,systems analyst,Gurgaon
26,27,2,m,90.88,ssc,2006,82.5,ssc,2,B.Tech/B.E.,computer engineering,66.15,0,Orissa,2010,415,335,405,0.884122511593735,535,333,0,313,0,0,320,0.8192,0.1888,-1.7954,1.8249,1.1343,345000,senior software engineer,Bangalore
27,22,1,m,76.8,ssc,2009,83.0,ssc,2,B.Tech/B.E.,electronics and communication engineering,76.44,0,Uttar Pradesh,2014,535,510,605,0.881620069530177,0,420,0,0,0,0,0,0.99,1.3779,0.7785,-0.2344,-0.6692,300000,ase,Bangalore
28,21,0,m,84.0,cbse,2011,68.0,cbse,2,B.Tech/B.E.,electronics and communication engineering,72.0,0,Uttar Pradesh,2015,580,570,385,0.207392169717661,335,260,0,0,0,313,0,0.1282,0.7119,1.3933,-0.3612,-0.0943,145000,telecommunication engineer,Noida
29,23,0,m,64.0,cbse,2010,74.0,cbse,2,B.Tech/B.E.,information technology,68.0,0,Haryana,2014,485,375,435,0.486747008438193,345,0,376,0,0,0,0,-3.1994,-1.8393,0.0552,0.0623,-0.7615,220000,java software engineer,Gurgaon
30,26,4,m,84.0,ssc,2007,92.0,ssc,2,B.Tech/B.E.,computer engineering,77.2,0,Andhra Pradesh,2011,475,405,695,0.670743151433127,455,0,0,0,0,0,0,-0.4173,0.6568,-0.0537,-1.2303,-0.9194,530000,systems engineer,Hyderabad
31,23,1,m,77.2,ssc,2010,86.1,ssc,2,B.Tech/B.E.,computer science & engineering,71.0,0,Tamil Nadu,2014,560,485,450,0.622642915849938,485,0,407,0,0,0,0,-0.0154,1.2114,1.0859,-1.5021,0.2889,340000,software engineer,Bangalore
32,24,2,f,87.0,cbse,2009,84.4,cbse,1,B.Tech/B.E.,computer engineering,79.3,1,Delhi,2013,570,475,295,0.413838255788123,385,0,0,0,0,0,0,-0.7335,-0.4536,-1.0659,1.1601,-0.4776,360000,application developer,Noida
33,23,1,m,73.0,ssc,2010,68.4,ssc,2,B.Tech/B.E.,information technology,74.3,1,West Bengal,2014,560,530,605,0.911395278391328,445,0,500,0,0,0,0,-0.7335,0.5454,-0.7585,-0.6147,1.4386,145000,ios developer,Kolkata
34,26,0,f,71.0,cbse,2009,68.0,icse,2,B.Tech/B.E.,computer science & engineering,70.86,0,Uttar Pradesh,2013,430,510,405,0.356536487724475,465,0,346,0,0,0,0,1.5644,1.0449,0.3174,-1.8824,1.0554,215000,executive assistant,Bangalore
35,25,1,f,85.0,cbse,2008,61.0,cbse,2,B.Tech/B.E.,electronics and communication engineering,64.98,0,Punjab,2011,570,475,430,-1.0,0,0,0,0,0,0,0,-0.4854,-0.5213,2.1129,-0.735,1.8224,350000,online marketing manager,mohali
36,23,2,f,91.5,ssc,2009,93.8,ssc,1,B.Tech/B.E.,computer engineering,74.1,1,Telangana,2013,380,535,530,0.525922584252055,415,0,0,0,0,0,0,-1.0208,0.2124,0.4711,0.2727,-0.0943,270000,software engineer,Hyderabad
37,22,5,m,77.0,cbse,2010,85.4,cbse,2,B.Tech/B.E.,electronics and communication engineering,63.9,0,Punjab,2014,475,605,415,0.649389714846691,435,356,0,0,0,0,0,0.2718,0.5454,0.3174,-1.8824,-0.4776,80000,documentation specialist,Gurgaon
38,24,1,m,52.33,ssc,2007,67.0,ssc,2,MCA,computer application,77.15,0,Uttar Pradesh,2013,450,525,545,0.735795709224656,475,0,0,0,0,0,0,-0.0154,1.2114,0.6248,0.7798,0.8637,330000,associate software engineer,Bangalore
39,24,0,m,88.0,ssc,2008,89.66,ssc,2,B.Tech/B.E.,electronics and communication engineering,76.4,0,Kerala,2012,510,640,635,0.124502074009537,0,233,0,0,0,0,0,0.3941,1.2808,0.2366,-2.1998,-0.4455,200000,management trainee,unknown
40,26,1,m,66.6,cbse,2007,68.6,ssc,2,B.Tech/B.E.,mechanical engineering,60.22,0,Uttar Pradesh,2011,425,595,475,0.130441735719574,0,0,0,286,0,0,0,-0.4173,0.3448,0.0914,-0.4078,0.6603,120000,site manager,Jhansi
41,23,0,m,75.0,cbse,2009,60.0,cbse,2,B.Tech/B.E.,computer science & engineering,66.0,0,Uttar Pradesh,2014,380,545,460,0.356536487724475,395,0,346,0,0,0,0,-0.8772,-1.1196,-1.0659,-1.2486,-1.4356,145000,software developer,Delhi
42,24,1,m,91.4,icse,2010,73.0,cbse,1,B.Tech/B.E.,information technology,71.0,0,Uttar Pradesh,2014,555,560,825,0.23780283983757,525,0,315,0,0,0,0,-0.0154,0.2578,-0.5349,-1.1218,-1.359,350000,associate software engineer,Bangalore
43,22,1,m,59.0,ssc,2010,87.7,ssc,2,B.Tech/B.E.,electronics and communication engineering,71.04,1,Telangana,2014,300,340,355,0.112139438207403,155,228,0,0,0,0,0,-0.0154,-2.4516,-0.4511,0.2727,-3.1602,120000,.net developer,Hyderabad 
44,26,3,f,84.5,ssc,2007,82.5,ssc,2,B.Tech/B.E.,computer engineering,92.1,0,Karnataka,2011,425,525,515,0.377551419424541,375,0,0,0,0,0,0,0.51,0.6568,-0.6343,0.2973,0.1864,380000,programmer analyst,Bangalore 
45,23,1,m,95.8,ssc,2010,87.16,ssc,2,B.Tech/B.E.,mechanical engineering,79.0,0,Tamil Nadu,2014,430,395,500,0.0669607065028304,0,0,0,253,0,0,0,-0.5899,-1.1196,0.4711,-0.7415,-1.4356,110000,production engineer,Chennai
46,24,2,f,85.6,cbse,2008,82.0,cbse,2,B.Tech/B.E.,computer science & engineering,74.01,0,Haryana,2012,370,495,455,0.0800552813405495,445,0,253,0,0,0,0,0.1282,0.5454,0.1637,-0.4879,0.8637,205000,jr. software engineer,noida
47,23,1,m,69.6,ssc,2008,71.4,ssc,2,B.Tech/B.E.,computer engineering,77.0,0,Orissa,2012,485,415,575,0.925645767094482,0,0,0,0,0,0,0,-0.4173,0.6568,-0.7794,1.7074,0.1864,95000,software developer,delhi
48,24,2,m,86.6,cbse,2009,75.0,cbse,2,B.Tech/B.E.,computer science & engineering,74.0,0,Madhya Pradesh,2013,505,545,565,0.356536487724475,475,0,346,0,0,0,0,-2.5039,0.0328,0.3817,0.26793,0.5024,390000,software engineer,Bangalore
49,26,2,m,81.92,ssc,2007,61.46,ssc,2,B.Tech/B.E.,information technology,57.54,1,Karnataka,2011,565,465,415,0.843123726665742,515,0,0,0,0,0,0,1.2828,1.7488,1.8331,-2.2879,1.1343,270000,qa analyst,Bangalore
50,27,2,f,66.5,cbse,2005,49.5,ssc,2,MCA,computer application,89.7,0,Orissa,2011,505,505,485,0.916869961103619,555,0,0,0,0,0,0,-1.0355,0.0328,-2.2308,1.0024,0.3444,60000,trainee software developer,Bhubaneswar
51,24,0,m,80.0,ssc,2009,72.5,ssc,2,B.Tech/B.E.,electronics and computer engineering,57.8,0,Andhra Pradesh,2013,580,485,455,0.783303536670298,405,388,0,0,0,0,0,-0.4463,-0.1206,-1.0659,-0.1076,-1.244,120000,ui developer,Hyderabad
52,23,0,m,85.2,icse,2010,81.5,icse,2,B.Tech/B.E.,computer science & engineering,57.64,0,Uttar Pradesh,2014,545,385,485,0.600057182338341,435,0,0,0,0,0,0,1.1336,0.3789,1.0859,0.653,0.2889,400000,software engineer,Navi Mumbai
53,24,1,m,89.25,ssc,2010,78.0,ssc,2,B.Tech/B.E.,electrical engineering,80.0,1,West Bengal,2014,570,510,545,0.79293627759454,0,0,0,0,484,0,0,-0.159,-0.1206,-0.6048,-1.6289,-1.4356,350000,assistant system engineer,Mumbai
54,23,1,f,58.4,cbse,2008,64.8,cbse,2,MCA,computer application,80.0,0,Haryana,2014,440,415,554,0.793580614548506,495,0,0,0,0,0,0,0.335,0.0924,-0.6582,-0.4821,-0.1543,120000,android developer,New Delhi
55,23,1,m,90.8,ssc,2010,90.1,ssc,2,B.Tech/B.E.,computer science & engineering,67.7,0,Karnataka,2014,525,530,595,0.486747008438193,485,0,376,0,0,0,0,-0.3027,0.7119,-0.2974,1.1601,-0.4776,250000,software engineer,Mangalore
56,26,2,f,78.0,cbse,2006,70.1,cbse,2,B.Tech/B.E.,electronics and communication engineering,68.2,0,Haryana,2011,415,595,495,0.694479327708463,0,366,0,0,0,0,0,0.8192,-0.0842,-0.598,-0.6428,-0.6035,240000,customer service,Rewari
57,26,3,f,89.88,ssc,2007,95.4,ssc,2,B.Tech/B.E.,electronics and communication engineering,80.8,1,Telangana,2011,555,475,635,0.694479327708463,0,366,0,0,0,420,0,0.3555,-0.2793,-0.6343,-0.2902,-0.2875,525000,test engineer,Hyderabad
58,25,1,m,63.3,ssc,2008,61.1,ssc,2,B.Tech/B.E.,electronics and communication engineering,66.9,0,Uttar Pradesh,2013,420,510,665,0.112139438207403,0,228,0,0,0,0,0,-1.0208,-0.6201,-0.2974,-0.1076,-1.244,200000,project engineer,Gaziabaad
59,38,4,m,72.0,cbse,1995,49.0,ssc,2,B.Tech/B.E.,computer engineering,55.0,0,Karnataka,2011,640,460,250,0.525922584252055,415,300,0,366,0,0,400,-0.3014,-0.4353,-0.9245,-0.349,-0.4455,120000,software engineer,Bangalore
60,24,2,f,83.0,ssc,2009,79.0,ssc,2,B.Tech/B.E.,information technology,70.0,1,Telangana,2013,430,410,310,0.165633091512476,305,0,0,0,0,0,0,-0.159,-0.1206,0.1637,1.5404,-0.0943,305000,software engineer,Chennai
61,22,1,m,85.3,ssc,2010,88.3,ssc,2,B.Tech/B.E.,computer science & engineering,85.0,1,Tamil Nadu,2014,370,375,325,0.356536487724475,315,0,346,0,0,0,0,1.8517,1.5444,0.3174,0.3995,0.6721,300000,java developer,Chennai
62,24,1,f,81.0,cbse,2009,77.8,cbse,2,B.Tech/B.E.,electronics and communication engineering,65.35,0,Uttar Pradesh,2014,535,510,390,0.207392169717661,0,260,0,0,0,260,0,-1.1644,-0.9531,0.01,-0.7415,-0.8608,145000,engineer,Noida
63,23,1,m,60.66,ssc,2008,62.4,ssc,2,B.Tech/B.E.,mechanical engineering,69.3,0,Uttar Pradesh,2013,370,410,470,0.755375120895548,315,0,0,446,0,0,0,-2.2351,-2.6847,-2.6028,0.3995,-5.477,150000,management trainee,Bhiwadi
64,29,2,m,78.0,cbse,2004,83.0,cbse,1,B.Tech/B.E.,information technology,72.13,1,Delhi,2010,444,555,695,0.999904558268382,804,0,0,0,0,0,0,0.6646,0.3448,0.8171,0.6498,0.0284,600000,java software engineer,Gurgaon
65,25,0,m,89.37,ssc,2009,79.0,ssc,2,B.Tech/B.E.,applied electronics and instrumentation,70.0,0,West Bengal,2013,630,580,510,0.338786347219528,0,292,0,0,0,0,0,0.99,1.2114,-0.2974,-1.1218,1.247,310000,system engineer,Mysore
66,26,2,m,90.0,ssc,2006,94.4,ssc,2,B.Tech/B.E.,electronics and communication engineering,76.12,0,Andhra Pradesh,2010,505,525,595,0.124502074009537,615,233,0,0,0,0,0,-0.2628,-0.1232,0.0914,-1.2303,-0.1295,455000,system engineer,Bangalore
67,24,1,f,81.0,icse,2010,79.0,icse,2,B.Tech/B.E.,electronics and communication engineering,71.5,0,Uttar Pradesh,2014,510,500,575,0.493596387301038,455,324,0,0,0,0,0,-1.8825,-3.7836,-2.4491,0.9066,-1.8189,400000,test engineer,Bangalore
68,26,2,f,78.0,ssc,2006,86.67,ssc,2,B.Tech/B.E.,instrumentation and control engineering,77.55,1,Tamil Nadu,2010,535,465,535,0.910770164246022,445,433,0,0,0,0,0,-0.880999999999999,1.4368,0.3817,-0.4078,-0.1295,150000,recruitment coordinator,Chennai
69,22,0,m,84.4,cbse,2011,73.2,cbse,2,B.Tech/B.E.,computer science & engineering,70.0,0,Punjab,2015,570,410,535,0.670743151433127,455,0,0,0,0,0,0,-0.0154,0.8784,0.01,-0.7415,-0.2859,250000,software developer,Mangalore
70,23,1,m,89.0,ssc,2009,92.0,ssc,2,B.Tech/B.E.,electrical engineering,76.4,1,Telangana,2013,625,645,605,0.982057124317279,385,388,0,0,606,0,0,-1.4517,-1.4526,-1.2196,1.794,-2.3937,320000,system engineer,Chennai
71,25,1,m,86.0,ssc,2008,64.0,ssc,2,B.Tech/B.E.,information technology,61.17,0,Gujarat,2013,665,545,415,0.911395278391328,405,0,500,0,0,0,0,1.1336,1.3779,2.1617,-0.995,1.0554,250000,java software engineer,Rajkot
72,23,1,m,85.0,icse,2010,75.0,cbse,2,B.Tech/B.E.,computer science & engineering,60.0,1,Karnataka,2014,675,480,500,0.842248322257836,425,0,469,0,0,0,0,1.1336,1.0449,0.1637,-1.2486,0.0973,200000,technical support engineer,Bangalore
73,23,1,m,75.0,cbse,2009,64.0,cbse,2,B.Tech/B.E.,computer science & engineering,67.0,0,Uttar Pradesh,2014,510,480,485,-1.0,0,0,0,0,0,0,0,-0.159,0.8784,1.2396,0.2727,-0.6692,240000,android developer,Greater Noida
74,24,0,f,86.0,ssc,2009,77.0,ssc,2,B.Tech/B.E.,computer science & engineering,75.0,0,Madhya Pradesh,2013,325,510,295,0.0185409416754305,415,0,192,0,0,0,0,0.1282,0.0459,0.1637,0.0192,-0.0943,120000,data analyst,Indore
75,23,1,m,70.6,cbse,2010,78.67,ssc,2,B.Tech/B.E.,electronics and communication engineering,75.84,1,Karnataka,2014,580,485,510,0.0531603052826837,285,196,0,0,0,0,0,0.5591,0.2124,-1.2196,-0.7415,-0.8608,300000,programmer analyst,Bangalore
76,24,3,m,93.44,ssc,2008,90.0,ssc,2,B.Tech/B.E.,computer engineering,87.6,0,Karnataka,2012,515,475,635,0.942116551485008,575,0,0,0,0,0,0,-0.4173,0.9688,-0.1988,-0.2902,0.3049,800000,software engineer,Bangalore
77,23,1,m,76.0,ssc,2009,72.0,ssc,2,B.Tech/B.E.,computer science & engineering,63.2,0,Tamil Nadu,2013,510,355,340,0.123016731640823,285,0,0,0,0,0,0,-0.159,-0.2871,0.4711,0.2727,-0.4776,120000,test engineer,unknown
78,22,1,f,86.4,cbse,2010,78.2,cbse,2,B.Tech/B.E.,electronics and communication engineering,73.5,1,Karnataka,2014,535,435,440,0.207392169717661,355,260,530,0,0,0,0,0.8463,1.3779,1.3933,0.653,-0.2859,325000,system engineer,Mysore
79,23,1,f,86.0,ssc,2009,95.0,ssc,2,B.Tech/B.E.,electronics and communication engineering,78.6,0,Telangana,2013,405,545,450,0.649389714846691,375,356,0,0,0,0,0,0.5591,-0.4536,0.01,-0.4879,0.6721,100000,software developer,unknown
80,23,1,m,84.83,cbse,2010,82.4,cbse,2,B.Tech/B.E.,computer science & engineering,74.14,0,Uttar Pradesh,2014,665,595,705,0.744758354008939,505,0,438,0,0,0,0,-0.4463,0.2124,0.3174,-1.5021,-0.2859,300000,assistant software engineer,Bangalore
81,25,1,m,72.3,icse,2008,60.2,cbse,2,B.Tech/B.E.,electronics and communication engineering,69.38,1,Rajasthan,2013,555,475,415,0.694479327708463,0,366,0,0,0,393,0,1.4208,0.5454,-0.2974,1.0333,-0.6692,280000,faculty,New Delhi
82,28,1,f,69.0,cbse,2005,62.6,cbse,2,B.Tech/B.E.,electrical engineering,76.25,0,Madhya Pradesh,2010,395,455,475,0.694479327708463,195,366,0,0,0,0,0,-0.4173,0.1888,-0.4891,0.4148,0.8183,215000,entry level management trainee,New Delhi
83,22,0,m,80.0,ssc,2010,70.0,ssc,2,B.Tech/B.E.,electronics and communication engineering,55.0,1,Rajasthan,2014,430,450,385,-1.0,0,0,0,0,0,0,0,0.1282,-0.1206,0.9322,1.5404,0.0973,145000,customer service representative,Jaipur
84,28,4,f,73.33,ssc,2004,71.33,ssc,2,MCA,computer application,61.0,1,Maharashtra,2010,375,535,534,0.600057182338341,435,0,0,0,0,0,0,-2.272,-0.2793,-1.2148,0.8848,-0.7615,445000,software test engineer,Pune
85,22,0,m,86.16,cbse,2011,70.08,cbse,2,B.Tech/B.E.,electronics and communication engineering,63.13,0,Uttar Pradesh,2015,455,595,500,0.207392169717661,225,260,0,0,0,0,0,0.99,1.0449,1.7007,-2.0092,0.2889,315000,firmware engineer,noida 
86,28,2,f,75.0,ssc,2010,78.0,ssc,2,B.Tech/B.E.,computer engineering,71.1,1,West Bengal,2013,415,440,355,0.488347976782714,405,0,0,0,0,0,0,0.8463,1.3779,1.0859,-0.995,1.247,100000,php developer,Kolkata
87,23,0,m,56.0,cbse,2009,56.0,ssc,2,MCA,computer application,62.0,0,Uttar Pradesh,2015,605,470,355,0.843123726665742,515,0,0,0,0,0,0,0.7027,0.8784,0.3174,-1.1218,0.4805,200000,software developer,Noida
88,23,1,f,87.0,cbse,2008,60.0,cbse,2,B.Tech/B.E.,computer science & engineering,70.82,0,Uttar Pradesh,2013,640,605,400,0.842248322257836,425,0,469,0,0,0,0,0.8463,1.2114,1.2396,-0.1076,1.247,220000,research associate,Hyderabad
89,24,2,m,79.25,ssc,2008,80.0,ssc,2,B.Tech/B.E.,information technology,79.9,0,West Bengal,2012,545,580,430,0.635978756456794,445,0,0,0,0,0,0,0.8192,1.0858,-0.4891,-0.7603,-0.1295,370000,project engineer,Kolkata
90,24,2,m,88.66,ssc,2008,84.33,ssc,2,B.Tech/B.E.,electronics & telecommunications,60.0,1,Maharashtra,2012,495,565,575,0.376059586651545,335,300,0,0,0,260,0,1.2828,1.7878,1.1437,-0.6428,0.5024,145000,research analyst,Pune
91,24,1,m,80.8,ssc,2009,75.0,ssc,2,B.Tech/B.E.,electronics and communication engineering,77.38,1,Karnataka,2013,405,470,370,-1.0,475,0,500,0,0,0,0,1.4208,-0.7866,-0.1437,-1.5021,-0.4776,275000,quality engineer,Bangalore
92,23,0,m,79.0,ssc,2009,87.9,ssc,2,B.Tech/B.E.,computer science & engineering,66.0,1,Telangana,2013,315,435,355,0.356536487724475,335,0,346,0,0,0,0,0.4155,0.5454,0.9322,-0.6147,0.8637,1500000,application developer,Hyderabad
93,23,1,m,70.0,icse,2010,65.0,cbse,2,B.Tech/B.E.,information technology,66.0,0,Chhattisgarh,2014,405,470,545,-1.0,0,0,0,0,0,0,0,0.4155,0.3789,-0.9122,-1.1218,-0.8608,325000,software engineer,Gurgaon
94,25,0,m,81.16,icse,2008,68.5,icse,2,B.Tech/B.E.,applied electronics and instrumentation,61.5,0,Orissa,2013,605,520,325,0.338786347219528,455,292,0,0,0,0,0,1.4208,1.2114,0.6248,-0.995,-0.2859,275000,programmer,Bangalore
95,25,3,f,83.5,ssc,2008,94.2,ssc,2,B.Tech/B.E.,information technology,88.2,0,Andhra Pradesh,2012,515,475,445,0.670743151433127,455,0,0,0,0,0,0,0.6646,1.4368,-0.0537,0.884829999999999,0.5024,425000,systems engineer,HYDERABAD
96,27,3,m,65.0,ssc,2006,66.0,ssc,2,B.Tech/B.E.,information technology,64.0,0,Uttar Pradesh,2010,515,565,554,0.600057182338341,435,0,0,0,0,0,0,-0.7264,0.1888,-1.2148,-0.5253,1.1343,450000,software engineer,Bangalore
97,23,1,f,88.0,ssc,2010,88.0,ssc,2,B.Tech/B.E.,computer science & engineering,70.12,0,Andhra Pradesh,2014,710,605,605,0.744758354008939,405,0,438,0,0,0,0,0.5591,1.2114,1.8543,0.1459,0.0973,300000,software developer,Bangalore
98,27,4,m,79.0,cbse,2006,76.6,cbse,2,B.Tech/B.E.,information technology,77.85,1,Rajasthan,2010,635,495,495,0.670743151433127,455,0,0,0,0,0,0,0.8192,-0.5913,0.2366,-0.7603,-0.1295,470000,senior systems engineer,Jaipur
99,27,1,m,55.6,ssc,2005,50.8,ssc,2,MCA,computer application,80.03,1,West Bengal,2014,440,425,370,0.23780283983757,415,0,315,0,0,0,0,-0.0154,0.8784,1.2396,1.2869,0.8637,120000,technical support executive,unknown
100,23,0,m,75.0,ssc,2008,72.0,ssc,2,B.Tech/B.E.,information technology,80.0,0,Uttar Pradesh,2013,475,470,415,0.911395278391328,595,0,500,0,0,0,0,0.8463,1.0449,1.3933,-1.6289,-0.2859,300000,business analyst,Bangalore
101,26,4,m,84.6,ssc,2006,66.5,ssc,2,B.Tech/B.E.,electronics and electrical engineering,66.7,1,Tamil Nadu,2010,345,255,395,0.0587928000083534,195,200,0,0,0,0,0,-0.1082,0.0328,-0.1988,0.2973,-0.7615,205000,electrical engineer,Chennai
